instance,region,score
m6in.32xlarge,us-east-1,0.04860646377932432
m6gd.16xlarge,us-west-1,0.048520096218094375
c7i.metal-48xl,eu-north-1,0.04803832062583523
i4i.32xlarge,eu-central-1,0.0478322687618666
r5b.8xlarge,ap-northeast-1,0.047809842250080996
c7g.metal,ap-south-1,0.04780932079501882
r5b.xlarge,ca-central-1,0.0477782779486544
r7i.metal-24xl,eu-central-1,0.04773454043604252
c6gn.8xlarge,eu-west-3,0.04738570602577618
m5n.24xlarge,us-west-2,0.04738246233099462
c7gn.2xlarge,us-east-2,0.047344902600505445
m7i.metal-48xl,ap-south-1,0.046959481500017476
r6gd.12xlarge,us-west-1,0.046906214046783065
m5ad.8xlarge,us-east-2,0.046778143599435724
r6in.xlarge,eu-central-1,0.04668608565888114
g6.4xlarge,eu-north-1,0.046419880685338026
c6gn.4xlarge,sa-east-1,0.04636925495275538
c5a.16xlarge,ap-southeast-1,0.0462208294540442
r6idn.2xlarge,ap-southeast-1,0.046201566328293024
c7i.metal-24xl,ap-south-1,0.04607555806458234
r7a.8xlarge,ap-northeast-1,0.04595960546507695
c7gn.metal,ap-northeast-1,0.04567994622413072
c6gd.metal,us-east-1,0.04557624075715562
m5ad.16xlarge,eu-central-1,0.04551831517724144
r5ad.8xlarge,ap-southeast-2,0.04545959724819249
r5n.metal,sa-east-1,0.04544940622828476
m6i.metal,eu-west-1,0.04538046825362591
m7i-flex.8xlarge,us-east-1,0.045364894746990035
c6gn.2xlarge,ap-northeast-2,0.04529912007286858
r7i.4xlarge,us-east-2,0.045290211942237424
c6gn.2xlarge,ap-northeast-1,0.04528630447107777
r6a.12xlarge,us-west-1,0.045280817570894874
r6in.2xlarge,ap-northeast-1,0.04522871315082718
m6id.16xlarge,ap-northeast-1,0.04521802405955848
c7i.2xlarge,eu-central-1,0.04519991275216544
c5n.18xlarge,eu-west-1,0.04516760619828464
r7i.8xlarge,eu-central-1,0.04516760619828464
i4i.large,sa-east-1,0.04516760619828464
m7i.16xlarge,eu-central-1,0.04515168591137062
gr6.4xlarge,eu-central-1,0.04508056285254763
c6in.4xlarge,eu-west-2,0.04501042235531149
c6in.24xlarge,ap-southeast-1,0.045008290046190814
r6id.12xlarge,ap-northeast-1,0.04483632238811152
r5n.24xlarge,eu-west-3,0.04479918659402949
vt1.24xlarge,us-west-2,0.04474895367670899
x2iedn.8xlarge,us-east-2,0.04460801917959719
c6id.large,ca-central-1,0.04451019255764702
r5n.16xlarge,ap-northeast-2,0.04451013410704936
d3en.8xlarge,us-west-2,0.04440041299580852
m6id.metal,eu-central-1,0.044351556043688074
r6gd.metal,eu-west-3,0.044351556043688074
c7gd.12xlarge,ap-southeast-2,0.04429963027212735
r6i.16xlarge,ap-southeast-1,0.044260420593196556
m5.metal,ap-northeast-2,0.04410610133319601
r6id.32xlarge,ap-southeast-1,0.04406983665209232
m5a.12xlarge,eu-west-3,0.044065989580636435
c6gd.4xlarge,eu-west-2,0.04399676750781359
c6gd.xlarge,ap-northeast-3,0.043746670775874456
c5d.18xlarge,eu-central-1,0.043729590858756044
g6.24xlarge,us-east-2,0.0437011627522603
g5.4xlarge,sa-east-1,0.04368985143455241
r6g.12xlarge,eu-central-1,0.04365014857003205
c7i.12xlarge,ap-south-1,0.04356952340240436
c7i-flex.8xlarge,ap-northeast-1,0.04355383599296447
c7i.large,ap-northeast-2,0.043397881012492666
c6id.32xlarge,ca-central-1,0.0433569882699832
m7i.metal-24xl,ca-central-1,0.04330486169094403
r7gd.metal,us-east-1,0.043294382478157964
r7i.metal-24xl,us-west-2,0.04324388353109397
m6in.large,ap-southeast-2,0.04321215436509844
r7i.48xlarge,eu-west-1,0.04293502945078811
r7i.metal-48xl,ca-central-1,0.04291418924589169
r8g.12xlarge,us-east-1,0.04284741107439137
r7i.12xlarge,us-west-2,0.04276935051927513
r6id.8xlarge,ap-south-1,0.04275925038082583
